flight_id,airline,source,destination,departure_time,arrival_time,overnight_adjusted,duration_minutes,route,departure_date,departure_hour,duration_band,anomaly_type,has_anomaly,flight_schedule_key
SJ010,Spicejet,CCU,MAA,2026-04-20 23:38:41,2026-04-21 02:32:41,False,174,CCU - MAA,2026-04-20,23,91 to 180 min,,False,cbf0649a21a551a578f7
AI155,Air India,BOM,CCU,2026-04-20 23:35:41,2026-04-21 01:23:41,False,108,BOM - CCU,2026-04-20,23,91 to 180 min,,False,dc44ee4f42b3d930f35d
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41,2026-04-21 01:11:41,False,105,BOM - CCU,2026-04-20,23,91 to 180 min,,False,7fdc3758e9755b31e14d
AI245,Air India,BOM,CCU,2026-04-20 23:07:41,2026-04-21 01:43:41,False,156,BOM - CCU,2026-04-20,23,91 to 180 min,,False,61d8b914d7b134808f93
AI192,Air India,MAA,BOM,2026-04-20 23:05:41,2026-04-21 04:04:41,False,299,MAA - BOM,2026-04-20,23,181 to 300 min,,False,9512b52388843d961dd6
SJ158,Spicejet,DEL,HYD,2026-04-20 23:05:41,2026-04-21 01:24:41,False,139,DEL - HYD,2026-04-20,23,91 to 180 min,,False,f6d2a351da9db78239cb
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41,2026-04-21 00:47:41,False,103,CCU - MAA,2026-04-20,23,91 to 180 min,,False,0ab0fbffe36012e4db32
AI080,Air India,BOM,HYD,2026-04-20 23:03:41,2026-04-21 00:35:41,False,92,BOM - HYD,2026-04-20,23,91 to 180 min,,False,b2208cc16f7a3f00f5b3
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41,2026-04-20 23:57:41,False,55,BLR - BOM,2026-04-20,23,Up to 90 min,,False,7cc02af71847b7b086ac
6F251,IndiGo,DEL,BLR,2026-04-20 22:56:41,2026-04-20 23:37:41,False,41,DEL - BLR,2026-04-20,22,Up to 90 min,Short duration under 45 minutes,True,963bf2758ecc7d2b60e0
AI137,Air India,BOM,DEL,2026-04-20 22:49:41,2026-04-21 01:17:41,False,148,BOM - DEL,2026-04-20,22,91 to 180 min,,False,83162964d76572477efe
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42,2026-04-21 03:13:42,False,267,BOM - CCU,2026-04-20,22,181 to 300 min,,False,db1546d7b3876dee8a07
