booking_id,flight_id,booking_date,status,seat_number,passenger_key,flight_schedule_key,airline,route,duration_minutes,has_anomaly,flight_match_status,amount,payment_method,payment_status
B1000,AI192,2025-06-14 11:37:36,CANCELLED,3D,7d7c0928f297a259aa3ac8f9d48e3d39d6f8c9d53f2d03d248b1e0a8873ad469,9512b52388843d961dd6,Air India,MAA - BOM,299,False,Matched,,,
B1001,6F026,2025-11-02 11:37:36,CANCELLED,18A,358fb8662f5d6dd938eefe855308c0287e70c74afaa569953ea08a580c3cd44a,db1546d7b3876dee8a07,IndiGo,BOM - CCU,267,False,Matched,,,
B1002,SJ010,2025-08-25 11:37:36,CANCELLED,30C,e3b7e27670c228b717c870030aa15a9770181bb9b2330a6b3b2eecd1a60c832a,cbf0649a21a551a578f7,Spicejet,CCU - MAA,174,False,Matched,6087.22,UPI,Recorded
B1002,SJ010,2025-08-25 11:37:36,CANCELLED,30C,e3b7e27670c228b717c870030aa15a9770181bb9b2330a6b3b2eecd1a60c832a,cbf0649a21a551a578f7,Spicejet,CCU - MAA,174,False,Matched,2505.86,NETBANKING,Recorded
B1003,AI069,2025-12-30 11:37:36,CONFIRMED,33A,02f1687e6b73b553bd8f992314c87b03317653e47ac8c4e0779466018bc95c8a,7d8f7622de16964d4b09,Air India,DEL - BOM,226,False,Matched,,,
B1004,UK003,2025-10-02 11:37:36,PENDING,25C,1f1c1f070377d668f836b2d64bfd9924d560f405b35fa4fd1e05f2e46b1eb03f,42c28cc5c37dfcea74f4,Vistara,HYD - DEL,278,False,Matched,12222.48,UPI,Recorded
B1005,AI048,2025-08-31 11:37:36,CONFIRMED,13D,3f5292e46400e74fb96e449445adc4ebd8ffcfd8d39e313d6dad60bda9d96abb,33f3be7d8b385df5c607,Air India,CCU - DEL,232,False,Matched,13378.9,UPI,Recorded
B1006,AI140,2025-06-29 11:37:36,CANCELLED,17F,1f78270a7c81d2ef89e4d5346274aa24f4670e168902b06d02833c16ea44826c,48288285f257accfd0ef,Air India,BOM - DEL,223,False,Matched,14980.37,NETBANKING,Recorded
B1007,UK167,2026-03-12 11:37:36,CONFIRMED,22E,0f69746cbc31c98def09233299426ed28e2f56917d86deda1d55d72a505b7a3e,862dde348cedf5de96bc,Vistara,DEL - MAA,181,False,Matched,,,
B1008,AI245,2025-09-07 11:37:36,PENDING,34F,8f67e53c0e60782a2787b05ca9eade19b37cfa20f1dbebfbaad8197785f2c03e,61d8b914d7b134808f93,Air India,BOM - CCU,156,False,Matched,,,
B1009,SJ158,2025-04-28 11:37:36,CANCELLED,33C,431053c9e44e768dae9e8f81b577d07c6ee3b0804f449aa943b88b177aa9f305,f6d2a351da9db78239cb,Spicejet,DEL - HYD,139,False,Matched,,,
B1010,AI155,2025-11-24 11:37:36,CONFIRMED,15B,f85cf500ec461f6437bb7df3b1eae5513c4c161e53b28240485e0432d4eda1d6,dc44ee4f42b3d930f35d,Air India,BOM - CCU,108,False,Matched,,NETBANKING,Missing amount
