route,flights,average_duration_minutes,anomalies
BOM - CCU,90,169.5,3
CCU - DEL,72,153.6,4
MAA - BLR,65,172.8,3
BLR - BOM,60,147.7,4
HYD - MAA,57,152.8,1
DEL - HYD,54,174.8,3
HYD - DEL,42,185.4,1
BOM - DEL,39,153.8,3
CCU - BOM,33,164.0,3
DEL - BLR,29,170.0,2
DEL - BOM,28,178.1,1
HYD - BOM,27,155.5,4
BOM - MAA,27,183.4,1
BOM - HYD,26,180.8,0
MAA - DEL,26,156.0,3
HYD - CCU,26,167.2,1
DEL - CCU,26,151.7,3
HYD - BLR,26,162.8,1
MAA - CCU,24,158.5,1
CCU - MAA,24,171.3,1
BOM - BLR,23,176.5,0
DEL - MAA,23,178.8,0
BLR - CCU,21,128.5,0
CCU - HYD,21,152.2,0
MAA - BOM,21,176.8,1
MAA - HYD,21,160.0,1
CCU - BLR,20,167.4,2
BLR - DEL,19,156.9,2
BLR - HYD,19,155.7,0
BLR - MAA,16,187.3,0
